CVE,KeyEntities
CVE-2021-26347,"[WEAKNESS] integer overflow
[PRODUCT] ASP (AMD Secure Processor)
[COMPONENT] bootloader
[VERSION] 
[ATTACKER] 
[IMPACT] potential denial of service
[VECTOR] 
[ROOTCAUSE] Failure to validate the integer operand"
CVE-2021-26384,"[WEAKNESS] out-of-bounds memory reads and writes
[PRODUCT] 
[COMPONENT] SMI (System Management Interface)
[VERSION] 
[ATTACKER] 
[IMPACT] potential loss of resources
[VECTOR] malformed SMI command
[ROOTCAUSE] "
CVE-2021-26386,"[WEAKNESS] corrupt memory
[PRODUCT] 
[COMPONENT] Stage 2 Bootloader
[VERSION] 
[ATTACKER] 
[IMPACT] code execution
[VECTOR] malformed system call
[ROOTCAUSE] "
CVE-2021-26567,"[WEAKNESS] Stack-based buffer overflow
[PRODUCT] faad2
[COMPONENT] frontend/main.c
[VERSION] before 2.2.7.1
[ATTACKER] local attackers
[IMPACT] execute arbitrary code
[VECTOR] filename and pathname options
[ROOTCAUSE] "
CVE-2021-26635,"[WEAKNESS] stack buffer overflow
[PRODUCT] ark library
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] remote code execution
[VECTOR] 
[ROOTCAUSE] wrong use of the data type"
CVE-2021-26727,"[WEAKNESS] stack-based buffer overflows
[PRODUCT] Lanner Inc IAC-AST2500A
[COMPONENT] SubNet_handler_func function of spx_restservice
[VERSION] standard firmware version 1.10.0
[ATTACKER] 
[IMPACT] execute arbitrary code with the same privileges as the server user (root)
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-26728,"[WEAKNESS] stack-based buffer overflow
[PRODUCT] Lanner Inc IAC-AST2500A
[COMPONENT] KillDupUsr_func function of spx_restservice
[VERSION] standard firmware version 1.10.0
[ATTACKER] 
[IMPACT] execute arbitrary code with the same privileges as the server user (root)
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-26729,"[WEAKNESS] stack-based buffer overflows
[PRODUCT] Lanner Inc IAC-AST2500A
[COMPONENT] Login_handler_func function of spx_restservice
[VERSION] standard firmware version 1.10.0
[ATTACKER] 
[IMPACT] execute arbitrary code with the same privileges as the server user (root)
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-26730,"[WEAKNESS] stack-based buffer overflow
[PRODUCT] Lanner Inc IAC-AST2500A
[COMPONENT] subfunction of the Login_handler_func function of spx_restservice
[VERSION] standard firmware version 1.10.0
[ATTACKER] 
[IMPACT] execute arbitrary code with the same privileges as the server user (root)
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-26731,"[WEAKNESS] stack-based buffer overflows
[PRODUCT] Lanner Inc IAC-AST2500A
[COMPONENT] modifyUserb_func function of spx_restservice
[VERSION] standard firmware version 1.10.0
[ATTACKER] 
[IMPACT] execute arbitrary code with the same privileges as the server user (root)
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-28237,"[WEAKNESS] heap-buffer overflow
[PRODUCT] LibreDWG
[COMPONENT] decode_preR13
[VERSION] v0.12.3
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-28277,"[WEAKNESS] Heap-based Buffer Overflow
[PRODUCT] jhead
[COMPONENT] RemoveUnknownSections function in jpgfile.c
[VERSION] 3.04 and 3.05
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-28278,"[WEAKNESS] Heap-based Buffer Overflow
[PRODUCT] jhead
[COMPONENT] RemoveSectionType function in jpgfile.c
[VERSION] 3.04 and 3.05
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-29568,"[WEAKNESS] undefined behavior
[PRODUCT] TensorFlow
[COMPONENT] tf.raw_ops.ParameterizedTruncatedNormal
[VERSION] 2.5.0, 2.4.2, 2.3.3, 2.2.3 and 2.1.4
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] does not validate input arguments before accessing the first element"
CVE-2021-30289,"[WEAKNESS] buffer overflow
[PRODUCT] Snapdragon
[COMPONENT] DIAG command for COEX management
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] lack of range check"
CVE-2021-30311,"[WEAKNESS] heap overflow
[PRODUCT] Snapdragon
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] lack of index validation before allocating and writing to heap buffer"
CVE-2021-30349,"[WEAKNESS] memory corruption
[PRODUCT] Snapdragon
[COMPONENT] AC database
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] Improper access control sequence"
CVE-2021-30350,"[WEAKNESS] memory corruption
[PRODUCT] Snapdragon
[COMPONENT] MBN header
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] Lack of header size verification against input buffer"
CVE-2021-30982,"[WEAKNESS] race condition
[PRODUCT] macOS
[COMPONENT] 
[VERSION] macOS Monterey 12.1, Security Update 2021-008 Catalina, macOS Big Sur 11.6.2
[ATTACKER] remote attacker
[IMPACT] unexpected application termination or heap corruption
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-31578,"[WEAKNESS] stack buffer overflow
[PRODUCT] Boa
[COMPONENT] 
[VERSION] 
[ATTACKER] proximal attacker
[IMPACT] remote escalation of privilege
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-31884,"[WEAKNESS] Out-of-bound reads, writes, and Denial-of-service
[PRODUCT] DHCP client application
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] assumes that the data supplied with the Hostname DHCP option is NULL terminated"
CVE-2021-32040,"[WEAKNESS] stack overflow
[PRODUCT] MongoDB Server
[COMPONENT] aggregation pipeline
[VERSION] v4.4 prior to and including 4.4.28, v5.0 prior to 5.0.4, v4.2 prior to 4.2.16
[ATTACKER] 
[IMPACT] crash MongoDB
[VECTOR] extremely long aggregation pipeline
[ROOTCAUSE] size of the stack frames"
CVE-2021-32435,"[WEAKNESS] Stack-based buffer overflow
[PRODUCT] abcm2ps
[COMPONENT] function get_key in parse.c
[VERSION] v8.14.11
[ATTACKER] remote attackers
[IMPACT] Denial of Service (DoS)
[VECTOR] unspecified vectors
[ROOTCAUSE] "
CVE-2021-32845,"[WEAKNESS] uninitialized memory use
[PRODUCT] HyperKit
[COMPONENT] qnotify at pci_vtrnd_notify
[VERSION] 0.20210107 and prior
[ATTACKER] 
[IMPACT] guest crashing the host causing a denial of service and memory corruption
[VECTOR] 
[ROOTCAUSE] Fails to check the return value"
CVE-2021-32846,"[WEAKNESS] uninitialized memory use
[PRODUCT] HyperKit
[COMPONENT] function pci_vtsock_proc_tx in virtio-sock
[VERSION] 0.20210107
[ATTACKER] 
[IMPACT] guest crashing the host causing a denial of service and memory corruption
[VECTOR] 
[ROOTCAUSE] function can return -1 if it finds an error it cannot recover from"
CVE-2021-32941,"[WEAKNESS] stack-based buffer overflow
[PRODUCT] Annke N48PBB (Network Video Recorder)
[COMPONENT] 
[VERSION] 3.4.106 build 200422 and prior
[ATTACKER] unauthorized remote attacker
[IMPACT] execute arbitrary code with the same privileges as the server user (root)
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-33019,"[WEAKNESS] stack-based buffer overflow
[PRODUCT] Delta Electronics DOPSoft
[COMPONENT] 
[VERSION] 4.00.11 and prior
[ATTACKER] 
[IMPACT] execute arbitrary code
[VECTOR] processing a specially crafted project file
[ROOTCAUSE] "
CVE-2021-33438,"[WEAKNESS] stack buffer overflow
[PRODUCT] mjs (mJS: Restricted JavaScript engine)
[COMPONENT] json_parse_array() in mjs.c
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-33443,"[WEAKNESS] stack buffer overflow
[PRODUCT] mjs (mJS: Restricted JavaScript engine)
[COMPONENT] mjs_execute() in mjs.c
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-33448,"[WEAKNESS] stack buffer overflow
[PRODUCT] mjs (mJS: Restricted JavaScript engine)
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-33545,"[WEAKNESS] stack-based buffer overflow
[PRODUCT] Multiple camera devices by UDP Technology, Geutebrück and other vendors
[COMPONENT] counter parameter
[VERSION] 
[ATTACKER] 
[IMPACT] remotely execute arbitrary code
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-33657,"[WEAKNESS] heap overflow
[PRODUCT] SDL (Simple DirectMedia Layer)
[COMPONENT] video/SDL_pixels.c
[VERSION] 2.x to 2.0.18
[ATTACKER] 
[IMPACT] crash, denial of service or Code execution
[VECTOR] crafting a malicious .BMP file
[ROOTCAUSE] "
CVE-2021-33912,"[WEAKNESS] heap-based buffer overflow
[PRODUCT] libspf2
[COMPONENT] SPF_record_expand_data in spf_expand.c
[VERSION] before 1.2.11
[ATTACKER] remote attackers
[IMPACT] execute arbitrary code
[VECTOR] crafted SPF DNS record
[ROOTCAUSE] incorrect sprintf usage"
CVE-2021-33913,"[WEAKNESS] heap-based buffer overflow
[PRODUCT] libspf2
[COMPONENT] SPF_record_expand_data in spf_expand.c
[VERSION] before 1.2.11
[ATTACKER] remote attackers
[IMPACT] execute arbitrary code
[VECTOR] crafted SPF DNS record
[VECTOR] unauthenticated e-mail message
[ROOTCAUSE] "
CVE-2021-33945,"[WEAKNESS] stack buffer overflow
[PRODUCT] RICOH Printer series SP
[COMPONENT] file /etc/wpa_supplicant.conf
[VERSION] v1.06
[ATTACKER] 
[IMPACT] Denial of Service (DoS)
[VECTOR] crafted overflow data
[ROOTCAUSE] "
CVE-2021-3434,"[WEAKNESS] Stack based buffer overflow
[PRODUCT] Zephyr
[COMPONENT] le_ecred_conn_req()
[VERSION] >= v2.5.0
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-34583,"[WEAKNESS] heap-based buffer overflow
[PRODUCT] CODESYS V2 web server
[COMPONENT] 
[VERSION] prior to V1.1.9.22
[ATTACKER] 
[IMPACT] denial-of-service condition due to a crash
[VECTOR] Crafted web server requests
[ROOTCAUSE] "
CVE-2021-34874,"[WEAKNESS] memory corruption
[PRODUCT] Bentley View
[COMPONENT] processing of 3DS files
[VERSION] 10.15.0.75
[ATTACKER] remote attackers
[IMPACT] execute arbitrary code
[VECTOR] malicious page or file
[ROOTCAUSE] lack of proper validation of user-supplied data"
CVE-2021-34934,"[WEAKNESS] memory corruption
[PRODUCT] Bentley View
[COMPONENT] parsing of JT files
[VERSION] 10.15.0.75
[ATTACKER] remote attackers
[IMPACT] execute arbitrary code
[VECTOR] malicious page or file
[ROOTCAUSE] lack of proper validation of user-supplied data"
CVE-2021-35005,"[WEAKNESS] read past the end of an allocated array
[PRODUCT] TeamViewer
[COMPONENT] TeamViewer service
[VERSION] 
[ATTACKER] local attackers
[IMPACT] disclose sensitive information
[VECTOR] 
[ROOTCAUSE] lack of proper validation of user-supplied data"
CVE-2021-35090,"[WEAKNESS] memory corruption
[PRODUCT] Snapdragon
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] TOC TOU race condition when updating address mappings"
CVE-2021-35091,"[WEAKNESS] out of bounds read
[PRODUCT] Snapdragon
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] improper typecasting while handling page fault for global memory"
CVE-2021-35098,"[WEAKNESS] memory corruption
[PRODUCT] Snapdragon
[COMPONENT] PCM routing process
[VERSION]
[ATTACKER]
[IMPACT]
[VECTOR]
[ROOTCAUSE] Improper validation of session id"
CVE-2021-35110,"[WEAKNESS] buffer overflow
[PRODUCT] Snapdragon
[COMPONENT]
[VERSION]
[ATTACKER]
[IMPACT]
[VECTOR]
[ROOTCAUSE] improper validation of hash segment of file while allocating memory"
CVE-2021-35120,"[WEAKNESS] use after free
[PRODUCT] Snapdragon
[COMPONENT]
[VERSION]
[ATTACKER]
[IMPACT]
[VECTOR]
[ROOTCAUSE] Improper handling between export and release functions on the same handle from client"
CVE-2021-35121,"[WEAKNESS] Use After Free
[PRODUCT] Snapdragon
[COMPONENT] Synx driver
[VERSION]
[ATTACKER]
[IMPACT]
[VECTOR]
[ROOTCAUSE] improper validation of array index"
CVE-2021-35132,"[WEAKNESS] Out of bound write
[PRODUCT] Snapdragon
[COMPONENT] DSP service
[VERSION]
[ATTACKER]
[IMPACT]
[VECTOR]
[ROOTCAUSE] improper bound check for response buffer size"
CVE-2021-3575,"[WEAKNESS] heap-based buffer overflow
[PRODUCT] openjpeg
[COMPONENT] color.c:379:42 in sycc420_to_rgb
[VERSION] 
[ATTACKER] 
[IMPACT] execute arbitrary code
[VECTOR] crafted .j2k file
[ROOTCAUSE] "
CVE-2021-3609,"[WEAKNESS] race condition
[PRODUCT] Linux kernel
[COMPONENT] CAN BCM networking protocol, net/can/bcm.c
[VERSION] 
[ATTACKER] local attacker
[IMPACT] corrupt memory, crash the system or escalate privileges
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-3610,"[WEAKNESS] heap-based buffer overflow
[PRODUCT] ImageMagick
[COMPONENT] ReadTIFFImage() in coders/tiff.c
[VERSION] prior to 7.0.11-14
[ATTACKER] 
[IMPACT] crash and segmentation fault
[VECTOR] 
[ROOTCAUSE] incorrect setting of the pixel array size"
CVE-2021-3611,"[WEAKNESS] stack overflow
[PRODUCT] QEMU
[COMPONENT] Intel HD Audio device (intel-hda)
[VERSION] prior to 7.0.0
[ATTACKER] malicious guest
[IMPACT] crash the QEMU process, denial of service
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-36173,"[WEAKNESS] heap-based buffer overflow
[PRODUCT] FortiOS
[COMPONENT] firmware signature verification function
[VERSION] 7.0.1, 7.0.0, 6.4.0 through 6.4.6, 6.2.0 through 6.2.9, and 6.0.0 through 6.0.13
[ATTACKER] 
[IMPACT] execute arbitrary code
[VECTOR] specially crafted installation images
[ROOTCAUSE] "
CVE-2021-36193,"[WEAKNESS] stack-based buffer overflows
[PRODUCT] FortiWeb
[COMPONENT] command line interpreter
[VERSION] before 6.4.2
[ATTACKER] authenticated attacker
[IMPACT] arbitrary code execution
[VECTOR] specially crafted commands
[ROOTCAUSE] "
CVE-2021-36194,"[WEAKNESS] stack-based buffer overflows
[PRODUCT] FortiWeb
[COMPONENT] API controllers
[VERSION] 6.4.1, 6.4.0, and 6.3.0 through 6.3.15
[ATTACKER] authenticated attacker
[IMPACT] arbitrary code execution
[VECTOR] specially crafted requests
[ROOTCAUSE] "
CVE-2021-3622,"[WEAKNESS] stack overflow
[PRODUCT] hivex library
[COMPONENT] _get_children() function
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] specially crafted Windows Registry (hive) file
[ROOTCAUSE] "
CVE-2021-36347,"[WEAKNESS] stack-based buffer overflow
[PRODUCT] iDRAC9, iDRAC8
[COMPONENT] 
[VERSION] iDRAC9 prior to 5.00.20.00, iDRAC8 prior to 2.82.82.82
[ATTACKER] authenticated remote attacker with high privileges
[IMPACT] control process execution and gain access to the iDRAC operating system
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-36412,"[WEAKNESS] heap-based buffer overflow
[PRODUCT] GPAC
[COMPONENT] gp_rtp_builder_do_mpeg12_video function in MP4Box
[VERSION] 1.0.1
[ATTACKER] 
[IMPACT] 
[VECTOR] crafted file in the MP4Box command
[ROOTCAUSE] "
CVE-2021-36417,"[WEAKNESS] heap-based buffer overflow
[PRODUCT] GPAC
[COMPONENT] gf_isom_dovi_config_get function in MP4Box
[VERSION] v1.0.1
[ATTACKER] 
[IMPACT] denial of service or execute arbitrary code
[VECTOR] crafted file
[ROOTCAUSE] "
CVE-2021-36613,"[WEAKNESS] memory corruption
[PRODUCT] Mikrotik RouterOs
[COMPONENT] ptp process
[VERSION] before stable 6.48.2
[ATTACKER] authenticated remote attacker
[IMPACT] Denial of Service
[VECTOR] 
[ROOTCAUSE] NULL pointer dereference"
CVE-2021-36614,"[WEAKNESS] memory corruption
[PRODUCT] Mikrotik RouterOs
[COMPONENT] tr069-client process
[VERSION] before stable 6.48.2
[ATTACKER] authenticated remote attacker
[IMPACT] Denial of Service
[VECTOR] 
[ROOTCAUSE] NULL pointer dereference"
CVE-2021-3674,"[WEAKNESS] out of bounds reads
[PRODUCT] rizin
[COMPONENT] create_section_from_phdr function
[VERSION] 
[ATTACKER] 
[IMPACT] memory corruption and possibly code execution
[VECTOR] Crafted values in the headers
[ROOTCAUSE] "
CVE-2021-36762,"[WEAKNESS] out of bounds read
[PRODUCT] HCC Embedded InterNiche NicheStack
[COMPONENT] tfshnd():tftpsrv.c TFTP packet processing function
[VERSION] through 4.3
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] function doesn't ensure that a filename is adequately '\\0' terminated"
CVE-2021-3700,"[WEAKNESS] use-after-free
[PRODUCT] usbredir
[COMPONENT] usbredirparser_serialize() in usbredirparser/usbredirparser.c
[VERSION] prior to 0.11.0
[ATTACKER] 
[IMPACT] 
[VECTOR] serializing large amounts of buffered write data in the case of a slow or blocked destination
[ROOTCAUSE] "
CVE-2021-37014,"[WEAKNESS] Stack-based Buffer Overflow
[PRODUCT] Huawei Smartphone
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] device cannot be used properly
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-37020,"[WEAKNESS] Stack-based Buffer Overflow
[PRODUCT] Huawei Smartphone
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] Out-of-bounds read
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-37021,"[WEAKNESS] Stack-based Buffer Overflow
[PRODUCT] Huawei Smartphone
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] Out-of-bounds read
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-37041,"[WEAKNESS] out-of-bounds read
[PRODUCT] Huawei Smartphone
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] Improper verification"
CVE-2021-37042,"[WEAKNESS] out-of-bounds read
[PRODUCT] Huawei Smartphone
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] Improper verification"
CVE-2021-37049,"[WEAKNESS] Heap-based buffer overflow
[PRODUCT] Huawei Smartphone
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] rewrite the memory of adjacent objects
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-37404,"[WEAKNESS] heap buffer overflow
[PRODUCT] Apache Hadoop
[COMPONENT] libhdfs native code
[VERSION] 
[ATTACKER] 
[IMPACT] denial of service or arbitrary code execution
[VECTOR] Opening a file path provided by user without validation
[ROOTCAUSE] "
CVE-2021-3752,"[WEAKNESS] use-after-free
[PRODUCT] Linux kernel
[COMPONENT] Bluetooth subsystem
[VERSION] 
[ATTACKER] user
[IMPACT] crash the system or escalate privileges
[VECTOR] connect to the socket and disconnect simultaneously
[ROOTCAUSE] race condition"
CVE-2021-3782,"[WEAKNESS] use-after-free
[PRODUCT] 
[COMPONENT] 
[VERSION] 
[ATTACKER] 
[IMPACT] 
[VECTOR] 
[ROOTCAUSE] reference count overflow"
CVE-2021-38005,"[WEAKNESS] use after free
[PRODUCT] Google Chrome
[COMPONENT] loader
[VERSION] prior to 96.0.4664.45
[ATTACKER] remote attacker
[IMPACT] potentially exploit heap corruption
[VECTOR] crafted HTML page
[ROOTCAUSE] "
CVE-2021-38006,"[WEAKNESS] use after free
[PRODUCT] Google Chrome
[COMPONENT] storage foundation
[VERSION] prior to 96.0.4664.45
[ATTACKER] remote attacker
[IMPACT] potentially exploit heap corruption
[VECTOR] crafted HTML page
[ROOTCAUSE] "
CVE-2021-38007,"[WEAKNESS] Type confusion
[PRODUCT] Google Chrome
[COMPONENT] V8
[VERSION] prior to 96.0.4664.45
[ATTACKER] remote attacker
[IMPACT] potentially exploit heap corruption
[VECTOR] crafted HTML page
[ROOTCAUSE] "
CVE-2021-38008,"[WEAKNESS] Use after free
[PRODUCT] Google Chrome
[COMPONENT] media
[VERSION] prior to 96.0.4664.45
[ATTACKER] remote attacker
[IMPACT] potentially exploit heap corruption
[VECTOR] crafted HTML page
[ROOTCAUSE] "
