CVE,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT
CVE-2022-2964,,out-of-bounds reads,,,,"Linux kernel's driver for the ASIX AX88179_178A-based USB 2.0/3.0 Gigabit Ethernet Devices",,
CVE-2022-29640,stack overflow,,denial of service,crafted POST request,,TOTOLINK A3100R,"V4.1.2cu.5050_B20200504 and V4.1.2cu.5247_B20211129",setPortForwardRules function
CVE-2022-29641,stack overflow,,denial of service,crafted POST request,,TOTOLINK A3100R,"V4.1.2cu.5050_B20200504 and V4.1.2cu.5247_B20211129",setParentalRules function
CVE-2022-29642,stack overflow,,denial of service,crafted POST request,,TOTOLINK A3100R,"V4.1.2cu.5050_B20200504 and V4.1.2cu.5247_B20211129",setUrlFilterRules function
CVE-2022-29643,stack overflow,,denial of service,crafted POST request,,TOTOLINK A3100R,"V4.1.2cu.5050_B20200504 and V4.1.2cu.5247_B20211129",setMacQos function
CVE-2022-2972,stack-based buffer overflow,,,,,MZ Automation's libIEC61850,"1.4 and prior; version 1.5 prior to commit a3b04b7bc4872a5a39e5de3fdc5fbde52c09e10e",
CVE-2022-29776,stack overflow,,,,,Onlyoffice Document Server,"v6.0.0 and below and Core 6.1.0.26 and below",DesktopEditor/common/File.cpp
CVE-2022-29777,heap overflow,,,,,Onlyoffice Document Server,"v6.0.0 and below and Core 6.1.0.26 and below",DesktopEditor/fontengine/fontconverter/FontFileBase.h
CVE-2022-29886,integer overflow,heap buffer overflow,arbitrary code execution,specially-crafted OLE file,,ESTsoft Alyac,2.5.8.544,
CVE-2022-2991,heap-based buffer overflow,,arbitrary code execution,,,Linux kernel,,LightNVM subsystem
CVE-2022-29917,,memory corruption,,,,"Thunderbird, Firefox ESR, Firefox","< 91.9, < 91.9, < 100",
CVE-2022-29925,uninitialized pointer,,arbitrary code execution,specially crafted image file,,graphic editor 'V-SFT',versions prior to v6.1.6.0,simulator module
CVE-2022-2998,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 104.0.5112.101,Browser Creation
CVE-2022-30040,stack buffer overflow,denial of service,,,,"Tenda AX1803",v1.0.0.1_2890,/goform/SetSysTimeCfg
CVE-2022-3028,race condition,out-of-bounds read,,,local attacker,Linux kernel,,IP framework for transforming packets (XFRM subsystem)
CVE-2022-30292,heap-based buffer overflow,,,,,SQUIRREL,3.2 and prior,sqbaselib.cpp
CVE-2022-30293,heap-based buffer overflow,,,,,WebKitGTK,through 2.36.0,WebCore::TextureMapperLayer::setContentsLayer in WebCore/platform/graphics/texmap/TextureMapperLayer.cpp
CVE-2022-30306,stack-based buffer overflow,arbitrary code execution,,,authenticated attacker,FortiWeb,"version 7.0.1 and below, 6.4 all versions, version 6.3.19 and below",CA sign functionality
CVE-2022-3038,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 105.0.5195.52,Network Service
CVE-2022-3039,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 105.0.5195.52,WebSQL
CVE-2022-3040,,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 105.0.5195.52,Layout
CVE-2022-3041,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 105.0.5195.52,WebSQL
CVE-2022-3042,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome on Chrome OS,prior to 105.0.5195.52,PhoneHub
CVE-2022-30426,stack buffer overflow,arbitrary code execution,,,,"Acer Altos, Aspire, and Veriton products",various firmware versions,UEFI DXE driver
CVE-2022-3043,heap buffer overflow,heap corruption,,crafted HTML page,remote attacker,Google Chrome on Chrome OS,prior to 105.0.5195.52,Screen Capture
CVE-2022-3045,insufficient validation of untrusted input,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 105.0.5195.52,V8
CVE-2022-3046,use after free,heap corruption,,crafted HTML page,attacker who convinced a user to install a malicious extension,Google Chrome,prior to 105.0.5195.52,Browser Tag
CVE-2022-30472,stack-based buffer overflow,,,,,Tenda AC Series Router,AC18_V15.03.05.19(6318),function fromAddressNat
CVE-2022-30473,stack-based buffer overflow,,,,,Tenda AC Series Router,AC18_V15.03.05.19(6318),function form_fast_setting_wifi_set
CVE-2022-30474,heap overflow,,,,,Tenda AC Series Router,AC18_V15.03.05.19(6318),httpd module
CVE-2022-30475,stack-based buffer overflow,,,,,Tenda AC Series Router,AC18_V15.03.05.19(6318),httpd module
CVE-2022-30476,stack-based buffer overflow,,,,,Tenda AC Series Router,AC18_V15.03.05.19(6318),httpd module
CVE-2022-30540,uninitialized pointer,heap-based buffer overflow,arbitrary code execution,,,,,
CVE-2022-3055,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 105.0.5195.52,Passwords
CVE-2022-3058,use after free,heap corruption,,crafted UI interaction,remote attacker,Google Chrome,prior to 105.0.5195.52,Sign-In Flow
CVE-2022-30937,,memory corruption,denial of service,specially crafted HTTP packets,,EN100 Ethernet module,All versions,/txtrace endpoint
CVE-2022-30938,,memory corruption,denial of service,specially crafted HTTP packets,,EN100 Ethernet module,All versions,/txtrace endpoint
CVE-2022-31019,,stack overflow,process crash,,,Vapor,before 4.61.1,
CVE-2022-31031,stack buffer overflow,,,,,PJSIP,prior to and including 2.12.1,
CVE-2022-31099,,stack overflow,denial of service,,,rulex,before 0.4.3,
CVE-2022-31620,,out-of-bounds array access,denial of service,,,libjpeg,before 1.64,BitStream<false>::Get in bitstream.hpp
CVE-2022-31696,,memory corruption,,,malicious actor with local access,VMware ESXi,,
CVE-2022-31741,uninitialized variable,invalid memory read,memory corruption,crafted CMS message,,"Thunderbird, Firefox, Firefox ESR","< 91.10, < 101, < 91.10",
CVE-2022-31747,,memory corruption,,,,"Thunderbird, Firefox, Firefox ESR","< 91.10, < 101, < 91.10",
CVE-2022-31748,,memory corruption,,,,,Firefox,< 101,
CVE-2022-3178,buffer over-read,,,,,gpac/gpac,prior to 2.1.0-DEV,
CVE-2022-3196,use after free,heap corruption,,crafted PDF file,remote attacker,Google Chrome,prior to 105.0.5195.125,PDF
CVE-2022-3197,use after free,heap corruption,,crafted PDF file,remote attacker,Google Chrome,prior to 105.0.5195.125,PDF
CVE-2022-3198,use after free,heap corruption,,crafted PDF file,remote attacker,Google Chrome,prior to 105.0.5195.125,PDF
CVE-2022-3199,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 105.0.5195.125,Frames
CVE-2022-32030,stack overflow,,,,,Tenda AX1806,v1.0.0.1,function formSetQosBand
CVE-2022-32031,stack overflow,,,,,Tenda AX1806,v1.0.0.1,function fromSetRouteStatic
CVE-2022-32037,stack overflow,,,,,Tenda M3,V1.0.0.12,function formSetAPCfg
CVE-2022-32039,stack overflow,,,,,Tenda M3,V1.0.0.12,function fromDhcpListClient
CVE-2022-32040,stack overflow,,,,,Tenda M3,V1.0.0.12,function formSetCfm
CVE-2022-32041,stack overflow,,,,,Tenda M3,V1.0.0.12,function formGetPassengerAnalyseData
CVE-2022-32043,stack overflow,,,,,Tenda M3,V1.0.0.12,function formSetAccessCodeInfo
CVE-2022-32044,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_00413f80
CVE-2022-32045,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_00413be4
CVE-2022-32046,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_0041880c
CVE-2022-32047,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_00412ef4
CVE-2022-32048,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_0041cc88
CVE-2022-32049,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_00418540
CVE-2022-32050,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_0041af40
CVE-2022-32051,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_004133c4
CVE-2022-32052,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_004137a4
CVE-2022-32053,stack overflow,,,,,TOTOLINK T6,V4.1.9cu.5179_B20201015,function FUN_0041621c
CVE-2022-32141,invalid offset,buffer over read,denial of service,,,Multiple CODESYS Products,,
CVE-2022-32142,invalid offset,out-of-bounds read or write,denial of service,,,Multiple CODESYS Products,,
CVE-2022-3216,,memory corruption,stack overflow,,,Nintendo Game Boy Color,,Mobile Adapter GB
CVE-2022-32317,use-after-free,double free,denial of service,crafted file,,MPlayer Project,v1.5,libvo/vo_v4l2.c
CVE-2022-32527,,stack-based buffer overflow,remote code execution,specially crafted alarm cache data messages,,IGSS Data Server,Versions prior to V15.0.0.22170,IGSSdataServer.exe
CVE-2022-32529,,stack-based buffer overflow,remote code execution,specially crafted log data request messages,,IGSS Data Server,Versions prior to V15.0.0.22170,IGSSdataServer.exe
CVE-2022-32543,integer overflow,heap buffer overflow,arbitrary code execution,specially-crafted OLE file,,ESTsoft Alyac,2.5.8.544,
CVE-2022-32590,incorrect status check,use after free,local escalation of privilege,,,,,wlan
CVE-2022-32593,missing bounds check,out of bounds write,local escalation of privilege,,,,,vowe
CVE-2022-32595,incorrect bounds check,out of bounds read,local information disclosure,,,,,widevine
CVE-2022-32603,improper input validation,out of bounds write,local escalation of privilege,,,,,gpu drm
CVE-2022-32608,race condition,use after free,local escalation of privilege,,,,,jpeg
CVE-2022-32615,uninitialized data,out of bounds write,local escalation of privilege,,,,,ccd
CVE-2022-32616,uninitialized data,out of bounds write,local escalation of privilege,,,,,isp
CVE-2022-32617,incorrect calculation of buffer size,out of bounds write,local escalation of privilege,,,,,typec
CVE-2022-32618,incorrect calculation of buffer size,out of bounds write,local escalation of privilege,,,,,typec
CVE-2022-32623,incorrect error handling,out of bounds write,local escalation of privilege,,,,,mdp
CVE-2022-32624,incorrect calculation of buffer size,out of bounds write,local escalation of privilege,,,,,throttling
CVE-2022-32630,incorrect calculation of buffer size,out of bounds write,local escalation of privilege,,,,,throttling
CVE-2022-32631,improper input validation,out of bounds write,local escalation of privilege,,,,,Wi-Fi
CVE-2022-32632,improper input validation,out of bounds write,local escalation of privilege,,,,,Wi-Fi
CVE-2022-32634,improper input validation,out of bounds write,local escalation of privilege,,,,,ccci
CVE-2022-32635,missing bounds check,out of bounds write,local escalation of privilege,,,,,gps
CVE-2022-32636,integer overflow,out of bounds write,local escalation of privilege,,,,,keyinstall
CVE-2022-32637,missing bounds check,out of bounds write,local escalation of privilege,,,,,hevc decoder
CVE-2022-32638,race condition,out of bounds write,local escalation of privilege,,,,,isp
CVE-2022-32639,missing bounds check,out of bounds read,local escalation of privilege,,,,,watchdog
CVE-2022-32640,missing bounds check,out of bounds write,local escalation of privilege,,,,,meta wifi
CVE-2022-32641,missing bounds check,out of bounds read,local escalation of privilege,,,,,meta wifi
CVE-2022-32646,missing bounds check,stack overflow,local escalation of privilege,,,,,gpu drm
CVE-2022-32649,logic error,use after free,local escalation of privilege,,,,,jpeg
CVE-2022-32650,logic error,use after free,local escalation of privilege,,,,,mtk-isp
CVE-2022-32651,logic error,use after free,local escalation of privilege,,,,,mtk-aie
CVE-2022-32796,improper state management,memory corruption,arbitrary code execution,,,macOS Monterey,12.5,
CVE-2022-32811,improper locking,memory corruption,arbitrary code execution,,,"macOS Monterey, macOS Big Sur, Security Update 2022-005 Catalina","12.5, 11.6.8",
CVE-2022-32821,improper validation,memory corruption,arbitrary code execution,,,"watchOS, tvOS, iOS, iPadOS, macOS Monterey","8.7, 15.6, 15.6, 12.5",
CVE-2022-32827,improper state management,memory corruption,denial-of-service,,"iOS 16, macOS Ventura",13,
CVE-2022-32944,improper state management,memory corruption,arbitrary code execution,,,"tvOS, iOS, iPadOS, macOS Ventura, watchOS, macOS Monterey, macOS Big Sur","16.1, 15.7.1, 13, 9.1, 16.1, 12.6.1, 11.7.1",
CVE-2022-32959,insufficient parameter length validation,stack-based buffer overflow,arbitrary code execution,,,HiCOS,,client-side citizen digital certificate component
CVE-2022-3296,,buffer underflow,,,,,prior to 9.0.0577,GitHub repository vim/vim
CVE-2022-3304,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 106.0.5249.62,CSS
CVE-2022-3307,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 106.0.5249.62,media
CVE-2022-3315,type confusion,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 106.0.5249.62,Blink
CVE-2022-3318,use after free,heap corruption,,UI interaction,remote attacker,Google Chrome on ChromeOS,prior to 106.0.5249.62,ChromeOS Notifications
CVE-2022-33183,stack buffer overflow,,,,"firmwaredownload" and "diagshow" commands,remote authenticated attacker,Brocade Fabric OS,"before Brocade Fabric OS v9.1.0, 9.0.1e, 8.2.3c, 8.2.0cbn5, 7.4.2.j",Brocade Fabric OS CLI
CVE-2022-33210,out-of-range pointer offset,memory corruption,,,,"Snapdragon Auto",,automotive multimedia
CVE-2022-33214,time-of-check time-of-use,memory corruption,,,,"Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,display
CVE-2022-33218,improper input validation,memory corruption,,,,"Snapdragon Auto",,
CVE-2022-33234,configuration weakness,memory corruption,,,,"Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,video
CVE-2022-33236,,buffer over-read,denial of service,,,"Snapdragon Compute, Snapdragon Connectivity, Snapdragon Mobile, Snapdragon Wired Infrastructure and Networking",,WLAN firmware
CVE-2022-33242,improper authentication,memory corruption,,,,Qualcomm IPC,,
CVE-2022-33243,improper access control,memory corruption,,,,Qualcomm IPC,,
CVE-2022-33257,time-of-check time-of-use race condition,memory corruption,,,,"Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,Core
CVE-2022-33266,integer overflow,buffer overflow,,,,"Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,Audio
CVE-2022-33280,access of uninitialized pointer,memory corruption,,,,"Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,Bluetooth HOST
CVE-2022-33300,improper input validation,memory corruption,,,,"Snapdragon Auto",,Automotive Android OS
CVE-2022-33719,improper input validation,integer overflow,heap overflow,,,baseband,prior to SMR Aug-2022 Release 1,
CVE-2022-3377,improper input validation,uninitialized pointer,out-of-bounds memory read,maliciously formed FNT file,,Horner Automation's Cscape,9.90 SP 6 and prior,
CVE-2022-3378,improper input validation,uninitialized pointer,out-of-bounds memory write,maliciously formed FNT file,,Horner Automation's Cscape,9.90 SP 7 and prior,
