CVE,New CWE,Reasoning
CVE-2021-26347,CWE-1284,"(Chains: CWE-1284->CWE-190) ""Failure to validate the integer operand ... introduce an integer overflow"" in description"
CVE-2021-26347,CWE-190,"(Chains: CWE-1284->CWE-190) ""Failure to validate the integer operand ... introduce an integer overflow"" in description"
CVE-2021-26384,CWE-787,"""potentially leading to out-of-bounds memory reads and writes"" in description"
CVE-2021-26384,CWE-125,"""potentially leading to out-of-bounds memory reads and writes"" in description"
CVE-2021-26386,CWE-787,"""leading to corrupt memory"" in description"
CVE-2021-26567,CWE-121,"""Stack-based buffer overflow"" in description"
CVE-2021-26635,CWE-843,"(Chains: CWE-843->CWE-121) ""due to the wrong use of the data type ... to cause a stack buffer overflow"" in description"
CVE-2021-26635,CWE-121,"(Chains: CWE-843->CWE-121) ""due to the wrong use of the data type ... to cause a stack buffer overflow"" in description"
CVE-2021-26727,CWE-121,"""Multiple command injections and stack-based buffer overflows"" in description"
CVE-2021-26727,CWE-77,"""Multiple command injections and stack-based buffer overflows"" in description"
CVE-2021-26728,CWE-121,"""Command injection and stack-based buffer overflow vulnerabilities"" in description"
CVE-2021-26728,CWE-77,"""Command injection and stack-based buffer overflow vulnerabilities"" in description"
CVE-2021-26729,CWE-121,"""Command injection and multiple stack-based buffer overflows"" in description"
CVE-2021-26729,CWE-77,"""Command injection and multiple stack-based buffer overflows"" in description"
CVE-2021-26730,CWE-121,"""A stack-based buffer overflow vulnerability"" in description"
CVE-2021-26731,CWE-121,"""Command injection and multiple stack-based buffer overflows"" in description"
CVE-2021-26731,CWE-77,"""Command injection and multiple stack-based buffer overflows"" in description"
CVE-2021-28237,CWE-122,"product discovred to contain ""heap-buffer overflow"" in description"
CVE-2021-28277,CWE-122,"""A Heap-based Buffer Overflow"" in description"
CVE-2021-28278,CWE-122,"""A Heap-based Buffer Overflow"" in description"
CVE-2021-29568,CWE-20,"(Chains: CWE-20->CWE-476) ""does not validate input arguments before accessing the first element"" in description. If the first argument is empty, the product will bind ""to null pointer"""
CVE-2021-29568,CWE-476,"(Chains: CWE-20->CWE-476) ""does not validate input arguments before accessing the first element"" in description. If the first argument is empty, the product will bind ""to null pointer"""
CVE-2021-30289,CWE-20,"(Chains: CWE-20->CWE-119) ""possible buffer overflow due to lack of range check"" indicates no bounds checking"
CVE-2021-30289,CWE-119,"(Chains: CWE-20->CWE-119) ""possible buffer overflow due to lack of range check"" indicates no bounds checking"
CVE-2021-30311,CWE-129,"(Chains: CWE-129->CWE-122) ""due to lack of index validation before allocating and writing to heap buffer"" in description"
CVE-2021-30311,CWE-122,"(Chains: CWE-129->CWE-122) ""due to lack of index validation before allocating and writing to heap buffer"" in description"
CVE-2021-30349,CWE-284,"(Chains: CWE-284->CWE-787) ""Improper access control sequence"" is the root of the issue. Can lead to ""possible memory corruption"""
CVE-2021-30349,CWE-787,"(Chains: CWE-284->CWE-787) ""Improper access control sequence"" is the root of the issue. Can lead to ""possible memory corruption"""
CVE-2021-30350,CWE-1284,"(Chains: CWE-1284->CWE-787) ""Lack of header size verification against input buffer"" suggests lack of input buffer size checking"
CVE-2021-30350,CWE-787,"(Chains: CWE-1284->CWE-787) ""Lack of header size verification against input buffer"" suggests lack of input buffer size checking"
CVE-2021-30982,CWE-362,"""a race condition was addressed"" suggests the root cause of the issue was a race condition"
CVE-2021-31578,CWE-121,"""due to a stack buffer overflow"" in description"
CVE-2021-31884,CWE-170,"(Chains: CWE-170->CWE-119) ""The DHCP client application assumes that the data ... is NULL terminated"" implies there is no serialization of data for null termination. This may ""lead to Out-of-bound reads, writes"" in description"
CVE-2021-31884,CWE-119,"(Chains: CWE-170->CWE-119) ""The DHCP client application assumes that the data ... is NULL terminated"" implies there is no serialization of data for null termination. This may ""lead to Out-of-bound reads, writes"" in description"
CVE-2021-32040,CWE-20,"(Chains: CWE-20->CWE-121) lack of bounds checking results in ""stack overflow due to the size of the stack frames"""
CVE-2021-32040,CWE-121,"(Chains: CWE-20->CWE-121) lack of bounds checking results in ""stack overflow due to the size of the stack frames"""
CVE-2021-32435,CWE-121,"""Stack-based buffer overflow"" in description"
CVE-2021-32845,CWE-252,"(Chains: CWE-252->CWE-908->CWE-787) function ""Fails to check the return value"" of another function leading to use of uninitialized resource"
CVE-2021-32845,CWE-908,"(Chains: CWE-252->CWE-908->CWE-787) function ""Fails to check the return value"" of another function leading to use of uninitialized resource"
CVE-2021-32845,CWE-787,"(Chains: CWE-252->CWE-908->CWE-787) function ""Fails to check the return value"" of another function leading to use of uninitialized resource"
CVE-2021-32846,CWE-394,"insufficient error checking ""because the function can return -1 if it finds an error it cannot recover from"""
CVE-2021-32941,CWE-121,"""stack-based buffer overflow"" in description"
CVE-2021-33019,CWE-121,"""stack-based buffer overflow"" in description"
CVE-2021-33438,CWE-121,"""stack buffer overflow"" in description"
CVE-2021-33443,CWE-121,"""stack buffer overflow"" in description"
CVE-2021-33448,CWE-121,"""stack buffer overflow"" in description"
CVE-2021-33545,CWE-121,"""stack-based buffer overflow"" in description"
CVE-2021-33657,CWE-122,"""heap overflow problem"" in description"
CVE-2021-33912,CWE-122,"""heap-based buffer overflow"" in comment"
CVE-2021-33913,CWE-122,"""heap-based buffer overflow"" in description"
CVE-2021-33945,CWE-121,"""stack buffer overflow"" in description"
CVE-2021-3434,CWE-121,"""Stack based buffer overflow"" in description"
CVE-2021-34583,CWE-122,"description includes ""heap-based buffer overflow"""
CVE-2021-34874,CWE-20,"(Chains: CWE-20->CWE-787, CWE-20->CWE-416) Bentley reference describes ""Out of Bounds"" and ""Use After Free"" as specific memory corruption issues resulting from lack of input validation"
CVE-2021-34874,CWE-787,"(Chains: CWE-20->CWE-787, CWE-20->CWE-416) Bentley reference describes ""Out of Bounds"" and ""Use After Free"" as specific memory corruption issues resulting from lack of input validation"
CVE-2021-34874,CWE-416,"(Chains: CWE-20->CWE-787, CWE-20->CWE-416) Bentley reference describes ""Out of Bounds"" and ""Use After Free"" as specific memory corruption issues resulting from lack of input validation"
CVE-2021-34934,CWE-20,"(Chains: CWE-20->CWE-787, CWE-20->CWE-416) Bentley references describe memory corruption issues as ""out of bounds"" and ""use after free"". Issues arise as a result of lack of input validation"
CVE-2021-34934,CWE-787,"(Chains: CWE-20->CWE-787, CWE-20->CWE-416) Bentley references describe memory corruption issues as ""out of bounds"" and ""use after free"". Issues arise as a result of lack of input validation"
CVE-2021-34934,CWE-416,"(Chains: CWE-20->CWE-787, CWE-20->CWE-416) Bentley references describe memory corruption issues as ""out of bounds"" and ""use after free"". Issues arise as a result of lack of input validation"
CVE-2021-35005,CWE-20,"(Chains: CWE-20->CWE-126) Description includes ""read past the end of an allocated array"" as a result of ""lack of proper validation of user-supplied data"""
CVE-2021-35005,CWE-126,"(Chains: CWE-20->CWE-126) Description includes ""read past the end of an allocated array"" as a result of ""lack of proper validation of user-supplied data"""
CVE-2021-35090,CWE-367,"(Chains: CWE-367->CWE-787) Description includes ""memory corruption due to TOC TOU"""
CVE-2021-35090,CWE-787,"(Chains: CWE-367->CWE-787) Description includes ""memory corruption due to TOC TOU"""
CVE-2021-35091,CWE-704,"(Chains: CWE-704->CWE-125) Description attributes an ""out of bounds read"" to ""improper typecasting"""
CVE-2021-35091,CWE-125,"(Chains: CWE-704->CWE-125) Description attributes an ""out of bounds read"" to ""improper typecasting"""
CVE-2021-35098,CWE-20,"(Chains: CWE-20->CWE-823->CWE-787) Reference describes memory corruption due to out-of-range pointer offset and assigns to CWE-823. The description talks about ""improper validation of session id."""
CVE-2021-35098,CWE-823,"(Chains: CWE-20->CWE-823->CWE-787) Reference describes memory corruption due to out-of-range pointer offset and assigns to CWE-823. The description talks about ""improper validation of session id."""
CVE-2021-35098,CWE-787,"(Chains: CWE-20->CWE-823->CWE-787) Reference describes memory corruption due to out-of-range pointer offset and assigns to CWE-823. The description talks about ""improper validation of session id."""
CVE-2021-35110,CWE-704,"(Chains: CWE-704->CWE-119) Qualcomm reference maps to CWE-704 that leads to ""buffer overflow"""
CVE-2021-35110,CWE-119,"(Chains: CWE-704->CWE-119) Qualcomm reference maps to CWE-704 that leads to ""buffer overflow"""
CVE-2021-35120,CWE-416,"Description includes phrase ""use after free"" to describe issue"
CVE-2021-35121,CWE-129,"(Chains: CWE-129->CWE-416) Reference describes cause as ""improper validation of array index"" that leads to ""use after free."" It maps to CWE-129."
CVE-2021-35121,CWE-416,"(Chains: CWE-129->CWE-416) Reference describes cause as ""improper validation of array index"" that leads to ""use after free."" It maps to CWE-129."
CVE-2021-35132,CWE-1284,"(Chains: CWE-1284->CWE-823->CWE-787) Reference describes an ""out of bounds write"" resulting from an ""out-of-range pointer offset."" They attribute to CWE-823. Desc says ""improper bound check for response buffer size""."
CVE-2021-35132,CWE-823,"(Chains: CWE-1284->CWE-823->CWE-787) Reference describes an ""out of bounds write"" resulting from an ""out-of-range pointer offset."" They attribute to CWE-823. Desc says ""improper bound check for response buffer size""."
CVE-2021-35132,CWE-787,"(Chains: CWE-1284->CWE-823->CWE-787) Reference describes an ""out of bounds write"" resulting from an ""out-of-range pointer offset."" They attribute to CWE-823. Desc says ""improper bound check for response buffer size""."
CVE-2021-35134,CWE-20,"(Chains: CWE-20->CWE-131->CWE-787) Description: ""insufficient validation... Incorrect Calculation of Buffer Size... memory corruption"""
CVE-2021-35134,CWE-131,"(Chains: CWE-20->CWE-131->CWE-787) Description: ""insufficient validation... Incorrect Calculation of Buffer Size... memory corruption"""
CVE-2021-35134,CWE-787,"(Chains: CWE-20->CWE-131->CWE-787) Description: ""insufficient validation... Incorrect Calculation of Buffer Size... memory corruption"""
CVE-2021-3575,CWE-122,"description says issue is a ""heap based buffer overflow"""
CVE-2021-3609,CWE-362,"(Chains: CWE-362->CWE-416) The github.com/nrb547 reference says a ""race condition"" allows a struct to be freed while in use."
CVE-2021-3609,CWE-416,"(Chains: CWE-362->CWE-416) The github.com/nrb547 reference says a ""race condition"" allows a struct to be freed while in use."
CVE-2021-3610,CWE-122,"description mentions ""heap based buffer overflow"""
CVE-2021-3611,CWE-121,"description uses phrase ""stack overflow vulnerability"" to describe issue and NVD Provider maps to CWE-119"
CVE-2021-36173,CWE-122,"description uses phrase ""heap based buffer overflow"""
CVE-2021-36193,CWE-121,"description mentions ""multiple stack-based buffer overflows"""
CVE-2021-36194,CWE-121,"description mentions ""multiple stack-based buffer overflows"""
CVE-2021-3622,CWE-674,"description indicates that root issue is excessive recursion, which leads to stack overflow"
CVE-2021-36347,CWE-121,"description mentions ""stack-based buffer overflow"""
CVE-2021-36412,CWE-122,"description mentions ""heap-based buffer overflow"""
CVE-2021-36417,CWE-122,"description mentions ""heap-based buffer overflow"""
CVE-2021-36613,CWE-476,"(Chains: CWE-476->CWE-787) ""memory corruption vulnerability...crash... due to NULL pointer dereference"" in the 2021/Jul/0 reference"
CVE-2021-36613,CWE-787,"(Chains: CWE-476->CWE-787) ""memory corruption vulnerability...crash... due to NULL pointer dereference"" in the 2021/Jul/0 reference"
CVE-2021-36614,CWE-476,"(Chains: CWE-476->CWE-787) ""memory corruption vulnerability... crash... due to NULL pointer dereference"" in 2021/Jul/0 reference"
CVE-2021-36614,CWE-787,"(Chains: CWE-476->CWE-787) ""memory corruption vulnerability... crash... due to NULL pointer dereference"" in 2021/Jul/0 reference"
CVE-2021-3674,CWE-125,"description includes phrase ""out of bounds reads"""
CVE-2021-36762,CWE-170,"(Chains: CWE-170->CWE-125) ""function doesn't ensure that a filename is adequately '\0' terminated; therefore, a subsequent call to strlen for the filename might read out of bounds"" in desc"
CVE-2021-36762,CWE-125,"(Chains: CWE-170->CWE-125) ""function doesn't ensure that a filename is adequately '\0' terminated; therefore, a subsequent call to strlen for the filename might read out of bounds"" in desc"
CVE-2021-3700,CWE-416,"description includes ""use after free"" to describe issue."
CVE-2021-37014,CWE-121,"""Stack-based Buffer Overflow vulnerability"" in desc"
CVE-2021-37020,CWE-121,"description says root issue is ""stack based buffer overflow"""
CVE-2021-37021,CWE-121,"description says root issue is a ""stack based buffer overflow"""
CVE-2021-37041,CWE-125,"description says ""out-of-bounds read"""
CVE-2021-37042,CWE-125,"description says issue is improper verification that leads to an ""out-of-bounds read"""
CVE-2021-37049,CWE-122,"description says a ""Heap-based buffer overflow"""
CVE-2021-37404,CWE-20,"(Chains: CWE-20->CWE-122) description includes ""heap buffer overflow"" caused by opening a user-provided file path ""without validation"""
CVE-2021-37404,CWE-122,"(Chains: CWE-20->CWE-122) description includes ""heap buffer overflow"" caused by opening a user-provided file path ""without validation"""
CVE-2021-3752,CWE-362,"(Chains: CWE-362->CWE-416) description says issue is ""use after free"" caused by a ""race condition"""
CVE-2021-3752,CWE-416,"(Chains: CWE-362->CWE-416) description says issue is ""use after free"" caused by a ""race condition"""
CVE-2021-3782,CWE-190,"(Chains: CWE-190->CWE-416) ""With the reference count overflowing, a use-after-free can be constructed"" in desc"
CVE-2021-3782,CWE-416,"(Chains: CWE-190->CWE-416) ""With the reference count overflowing, a use-after-free can be constructed"" in desc"
CVE-2021-38005,CWE-416,"description and chrome reference describes issue as ""use after free"""
CVE-2021-38006,CWE-416,"description includes phrase ""use after free"""
CVE-2021-38007,CWE-843,"(Chains: CWE-843->CWE-122) ""Type confusion...allowed a remote attacker to potentially exploit heap corruption"" in desc"
CVE-2021-38007,CWE-122,"(Chains: CWE-843->CWE-122) ""Type confusion...allowed a remote attacker to potentially exploit heap corruption"" in desc"
